AFG;https://fr.wikipedia.org/wiki/Afghanistan;Afghanistan
AGO;https://fr.wikipedia.org/wiki/Angola;Angola
ALB;https://fr.wikipedia.org/wiki/Albanie;Albanie
AND;https://fr.wikipedia.org/wiki/Andorre;Andorre
ARE;https://fr.wikipedia.org/wiki/%C3%89mirats_arabes_unis;Émirats arabes unis
ARG;https://fr.wikipedia.org/wiki/Argentine;Argentine
ARM;https://fr.wikipedia.org/wiki/Arm%C3%A9nie;Arménie
ATG;https://fr.wikipedia.org/wiki/Antigua-et-Barbuda;Antigua-et-Barbuda
AUS;https://fr.wikipedia.org/wiki/Australie;Australie
AUT;https://fr.wikipedia.org/wiki/Autriche;Autriche
AZE;https://fr.wikipedia.org/wiki/Azerba%C3%AFdjan;Azerbaïdjan
BDI;https://fr.wikipedia.org/wiki/Burundi;Burundi
BEL;https://fr.wikipedia.org/wiki/Belgique;Belgique
BEN;https://fr.wikipedia.org/wiki/B%C3%A9nin;Bénin
BFA;https://fr.wikipedia.org/wiki/Burkina_Faso;Burkina Faso
BGD;https://fr.wikipedia.org/wiki/Bangladesh;Bangladesh
BGR;https://fr.wikipedia.org/wiki/Bulgarie;Bulgarie
BHR;https://fr.wikipedia.org/wiki/Bahre%C3%AFn;Bahreïn
BHS;https://fr.wikipedia.org/wiki/Bahamas;Bahamas
BIH;https://fr.wikipedia.org/wiki/Bosnie-Herz%C3%A9govine;Bosnie-Herzégovine
BLR;https://fr.wikipedia.org/wiki/Bi%C3%A9lorussie;Biélorussie
BLZ;https://fr.wikipedia.org/wiki/Belize;Belize
BOL;https://fr.wikipedia.org/wiki/Bolivie;Bolivie
BRA;https://fr.wikipedia.org/wiki/Br%C3%A9sil;Brésil
BRB;https://fr.wikipedia.org/wiki/Barbade;Barbade
BRN;https://fr.wikipedia.org/wiki/Brunei;Brunei
BTN;https://fr.wikipedia.org/wiki/Bhoutan;Bhoutan
BWA;https://fr.wikipedia.org/wiki/Botswana;Botswana
CAF;https://fr.wikipedia.org/wiki/R%C3%A9publique_centrafricaine;République centrafricaine
CAN;https://fr.wikipedia.org/wiki/Canada;Canada
CHE;https://fr.wikipedia.org/wiki/Suisse;Suisse
CHL;https://fr.wikipedia.org/wiki/Chili;Chili
CHN;https://fr.wikipedia.org/wiki/Chine;Chine
CIV;https://fr.wikipedia.org/wiki/C%C3%B4te_d%27Ivoire;Côte d'Ivoire
CMR;https://fr.wikipedia.org/wiki/Cameroun;Cameroun
COD;https://fr.wikipedia.org/wiki/R%C3%A9publique_d%C3%A9mocratique_du_Congo;République démocratique du Congo
COG;https://fr.wikipedia.org/wiki/R%C3%A9publique_du_Congo;République du Congo
COL;https://fr.wikipedia.org/wiki/Colombie;Colombie
COM;https://fr.wikipedia.org/wiki/Comores_(pays);Comores
CPV;https://fr.wikipedia.org/wiki/Cap-Vert;Cap-Vert
CRI;https://fr.wikipedia.org/wiki/Costa_Rica;Costa Rica
CUB;https://fr.wikipedia.org/wiki/Cuba;Cuba
CYP;https://fr.wikipedia.org/wiki/Chypre_(pays);Chypre
CZE;https://fr.wikipedia.org/wiki/R%C3%A9publique_tch%C3%A8que;République tchèque
DEU;https://fr.wikipedia.org/wiki/Allemagne;Allemagne
DJI;https://fr.wikipedia.org/wiki/Djibouti;Djibouti
DMA;https://fr.wikipedia.org/wiki/Dominique_(pays);Dominique
DNK;https://fr.wikipedia.org/wiki/Danemark;Danemark
DOM;https://fr.wikipedia.org/wiki/R%C3%A9publique_dominicaine;République dominicaine
DZA;https://fr.wikipedia.org/wiki/Alg%C3%A9rie;Algérie
ECU;https://fr.wikipedia.org/wiki/%C3%89quateur_(pays);Équateur
EGY;https://fr.wikipedia.org/wiki/%C3%89gypte;Égypte
ERI;https://fr.wikipedia.org/wiki/%C3%89rythr%C3%A9e;Érythrée
ESP;https://fr.wikipedia.org/wiki/Espagne;Espagne
EST;https://fr.wikipedia.org/wiki/Estonie;Estonie
ETH;https://fr.wikipedia.org/wiki/%C3%89thiopie;Éthiopie
